Date,Stars,Helpful Votes
June/15/2016,5.0,0
December/7/2017,3.0,0
April/17/2013,3.0,0
June/12/2014,4.0,0
April/2/2015,5.0,0
August/14/2016,5.0,0
September/21/2015,5.0,0
September/3/2013,1.0,0
November/3/2015,5.0,0
September/25/2015,4.0,0
November/29/2014,4.0,0
February/13/2015,5.0,0
August/15/2015,5.0,0
September/6/2017,4.0,0
March/7/2014,4.0,0
May/7/2014,5.0,0
August/9/2013,5.0,0
February/14/2015,4.0,0
May/31/2016,5.0,0
March/10/2014,4.0,0
April/10/2017,5.0,0
February/29/2016,5.0,0
January/5/2016,2.0,0
January/15/2017,5.0,0
June/16/2012,4.0,0
June/27/2016,5.0,0
August/27/2018,5.0,0
September/5/2014,3.0,0
December/12/2015,2.0,0
March/22/2015,5.0,0
March/6/2016,4.0,0
October/4/2016,5.0,0
March/11/2013,5.0,0
October/11/2014,4.0,0
January/24/2016,5.0,0
July/4/2018,3.0,0
October/25/2017,5.0,0
November/29/2015,4.0,0
March/7/2016,5.0,0
June/22/2015,4.0,0
August/12/2018,5.0,0
November/26/2015,5.0,0
January/28/2017,5.0,0
December/23/2017,2.0,0
April/21/2016,5.0,0
October/29/2016,5.0,0
October/11/2015,5.0,0
October/5/2015,5.0,0
January/7/2016,4.0,0
November/3/2015,3.0,0
July/9/2017,2.0,0
April/20/2011,4.0,0
August/1/2017,5.0,0
June/27/2015,4.0,0
October/13/2015,4.0,0
June/13/2014,5.0,0
June/26/2016,5.0,0
February/3/2017,5.0,0
January/5/2016,5.0,0
December/29/2016,4.0,0
November/23/2013,5.0,0
April/20/2016,1.0,0
October/15/2015,5.0,0
March/2/2016,3.0,0
December/29/2016,5.0,0
May/22/2015,2.0,0
September/6/2015,4.0,0
March/20/2015,2.0,0
November/28/2013,5.0,0
May/13/2016,5.0,0
May/15/2018,5.0,0
July/11/2017,5.0,0
February/3/2016,4.0,0
March/19/2017,5.0,0
November/21/2014,4.0,0
May/4/2014,4.0,0
April/24/2014,5.0,0
October/29/2017,5.0,0
October/8/2015,1.0,0
April/13/2018,5.0,0
August/19/2013,5.0,0
June/25/2013,5.0,0
January/1/2017,4.0,0
November/24/2014,5.0,0
March/22/2016,5.0,0
November/24/2013,3.0,0
March/14/2016,3.0,0
March/21/2018,5.0,0
July/24/2015,5.0,0
January/12/2016,3.0,0
January/6/2013,5.0,0
April/13/2015,5.0,0
February/24/2015,4.0,0
September/1/2015,5.0,0
September/14/2015,5.0,0
July/18/2013,5.0,0
September/18/2017,5.0,0
September/25/2018,5.0,0
November/14/2017,5.0,0
January/8/2013,5.0,0
February/7/2017,4.0,0
September/29/2015,5.0,0
May/24/2015,3.0,0
August/29/2015,5.0,0
August/19/2015,5.0,0
September/7/2013,5.0,0
September/13/2017,5.0,0
February/18/2010,5.0,0
December/20/2013,5.0,0
March/24/2015,5.0,0
May/8/2012,5.0,0
February/21/2016,5.0,0
March/29/2013,5.0,0
August/6/2015,5.0,0
November/9/2012,5.0,0
December/21/2014,5.0,0
July/11/2015,4.0,0
June/12/2015,4.0,0
November/18/2015,2.0,0
July/31/2015,5.0,0
February/27/2017,5.0,0
April/21/2016,5.0,0
May/4/2015,5.0,0
November/3/2015,1.0,0
October/14/2015,5.0,0
December/16/2013,4.0,0
April/29/2014,5.0,0
